x,y,z
269.0,1.0,1.0
6113462.0,1108075.0,1.0
3349625.0,1108075.0,1.0
530225.0,1108075.0,1.0
6340475.0,1954213.0,1.0
6340475.0,2298700.0,1.0
6340475.0,2643188.0,1.0
6340475.0,2989263.0,1.0
6340475.0,3335337.0,1.0
6340475.0,3679825.0,1.0
6340475.0,4025900.0,1.0
6340475.0,4370387.0,1.0
6340475.0,4714875.0,1.0
6340475.0,5060950.0,1.0
6340475.0,5407025.0,1.0
6340475.0,5751512.0,1.0
7594600.0,1803400.0,24.0
7854950.0,3679825.0,1.0
7931150.0,3332162.0,1.0
8131175.0,2646363.0,1.0
8350250.0,1960563.0,1.0
7826375.0,4713287.0,1.0
8293100.0,2303463.0,1.0
7740650.0,5741987.0,1.0
7835900.0,5056187.0,1.0
7854950.0,4370387.0,1.0
7864475.0,4027487.0,1.0
7769225.0,5399087.0,1.0
8035925.0,2989263.0,1.0
522287.0,1109662.0,17.0
6642100.0,1990725.0,13.0
6240462.0,1978025.0,1.0
6642100.0,2335213.0,13.0
6240462.0,2322513.0,1.0
121750.0,234864.0,1.0
174945.0,6232178.0,17.0
6642100.0,2681288.0,13.0
6240462.0,2670175.0,1.0
6642100.0,3025775.0,13.0
6240462.0,3014663.0,1.0
6642100.0,3370262.0,13.0
6240462.0,3359150.0,1.0
6642100.0,3716337.0,13.0
6240462.0,3705225.0,1.0
6642100.0,4062412.0,13.0
6240462.0,4049712.0,1.0
6642100.0,4406900.0,13.0
6240462.0,4394200.0,1.0
6642100.0,4752975.0,13.0
6240462.0,4741862.0,1.0
6642100.0,5097462.0,13.0
6240462.0,5086350.0,1.0
6642100.0,5441950.0,13.0
6240462.0,5430837.0,1.0
6642100.0,5789612.0,13.0
6240462.0,5776912.0,1.0
574675.0,1979613.0,1.0
574675.0,2395538.0,1.0
574675.0,2811463.0,1.0
574675.0,3227388.0,1.0
574675.0,3643312.0,1.0
574675.0,4059237.0,1.0
574675.0,4475162.0,1.0
574675.0,4891087.0,1.0
574675.0,5307012.0,1.0
574675.0,5722937.0,1.0
6140450.0,1109662.0,17.0
3346450.0,1109662.0,17.0
2070100.0,1803400.0,24.0
2254250.0,5708650.0,1.0
833437.0,3646487.0,1.0
833437.0,5630862.0,1.0
2330450.0,4879975.0,1.0
833437.0,5216525.0,1.0
2263775.0,5294312.0,1.0
833437.0,4392612.0,1.0
833437.0,4879975.0,1.0
833437.0,4060825.0,1.0
2339975.0,4470400.0,1.0
2349500.0,4060825.0,1.0
2768600.0,1993900.0,1.0
2473325.0,2408238.0,1.0
2368550.0,3646487.0,1.0
833437.0,2744788.0,1.0
2463800.0,2822575.0,1.0
2397125.0,3232150.0,1.0
833437.0,2330450.0,1.0
833437.0,1916113.0,1.0
833437.0,3154363.0,1.0
3406775.0,1979613.0,1.0
3406775.0,2395538.0,1.0
3406775.0,2811463.0,1.0
3406775.0,3227388.0,1.0
3406775.0,3643312.0,1.0
3406775.0,4059237.0,1.0
3406775.0,4475162.0,1.0
3406775.0,4891087.0,1.0
3406775.0,5307012.0,1.0
3406775.0,5722937.0,1.0
